Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,-45001,
Trigger Level,0.000E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+01,
Vertical Position,8.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-04,
Horizontal Position,5.000E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-07,
Horizontal Old Scale,1.000E-04,
Horizontal Old Position,5.000E-03,
Firmware,V1.24,
Mode,Detail,
Waveform Data,
4.500000e-03,9.60e+00,
4.500100e-03,9.60e+00,
4.500200e-03,9.60e+00,
4.500300e-03,9.60e+00,
4.500400e-03,9.60e+00,
4.500500e-03,9.60e+00,
4.500600e-03,9.60e+00,
4.500700e-03,9.60e+00,
4.500800e-03,9.60e+00,
4.500900e-03,9.60e+00,
4.501000e-03,9.60e+00,
4.501100e-03,9.60e+00,
4.501200e-03,9.60e+00,
4.501300e-03,9.60e+00,
4.501400e-03,9.60e+00,
4.501500e-03,9.60e+00,
4.501600e-03,9.60e+00,
4.501700e-03,9.60e+00,
4.501800e-03,9.60e+00,
4.501900e-03,9.60e+00,
4.502000e-03,9.60e+00,
4.502100e-03,9.60e+00,
4.502200e-03,9.60e+00,
4.502300e-03,9.60e+00,
4.502400e-03,9.60e+00,
4.502500e-03,9.60e+00,
4.502600e-03,9.60e+00,
4.502700e-03,9.60e+00,
4.502800e-03,9.60e+00,
4.502900e-03,9.60e+00,
4.503000e-03,9.60e+00,
4.503100e-03,9.60e+00,
4.503200e-03,9.60e+00,
4.503300e-03,9.60e+00,
4.503400e-03,9.60e+00,
4.503500e-03,9.60e+00,
4.503600e-03,9.60e+00,
4.503700e-03,9.60e+00,
4.503800e-03,9.60e+00,
4.503900e-03,9.60e+00,
4.504000e-03,9.60e+00,
4.504100e-03,9.60e+00,
4.504200e-03,9.60e+00,
4.504300e-03,9.60e+00,
4.504400e-03,9.60e+00,
4.504500e-03,9.60e+00,
4.504600e-03,9.60e+00,
4.504700e-03,9.60e+00,
4.504800e-03,9.60e+00,
4.504900e-03,9.60e+00,
4.505000e-03,9.60e+00,
4.505100e-03,9.60e+00,
4.505200e-03,9.60e+00,
4.505300e-03,9.60e+00,
4.505400e-03,9.60e+00,
4.505500e-03,9.60e+00,
4.505600e-03,9.60e+00,
4.505700e-03,9.60e+00,
4.505800e-03,9.60e+00,
4.505900e-03,9.60e+00,
4.506000e-03,9.60e+00,
4.506100e-03,9.60e+00,
4.506200e-03,9.60e+00,
4.506300e-03,9.60e+00,
4.506400e-03,9.60e+00,
4.506500e-03,9.60e+00,
4.506600e-03,9.60e+00,
4.506700e-03,9.60e+00,
4.506800e-03,9.60e+00,
4.506900e-03,9.60e+00,
4.507000e-03,9.60e+00,
4.507100e-03,9.60e+00,
4.507200e-03,9.60e+00,
4.507300e-03,9.60e+00,
4.507400e-03,9.60e+00,
4.507500e-03,9.60e+00,
4.507600e-03,9.60e+00,
4.507700e-03,9.60e+00,
4.507800e-03,9.60e+00,
4.507900e-03,9.60e+00,
4.508000e-03,9.60e+00,
4.508100e-03,9.60e+00,
4.508200e-03,9.60e+00,
4.508300e-03,9.60e+00,
4.508400e-03,9.60e+00,
4.508500e-03,9.60e+00,
4.508600e-03,9.60e+00,
4.508700e-03,9.60e+00,
4.508800e-03,9.60e+00,
4.508900e-03,9.60e+00,
4.509000e-03,9.60e+00,
4.509100e-03,9.60e+00,
4.509200e-03,9.60e+00,
4.509300e-03,9.60e+00,
4.509400e-03,9.60e+00,
4.509500e-03,9.60e+00,
4.509600e-03,9.60e+00,
4.509700e-03,9.60e+00,
4.509800e-03,9.60e+00,
4.509900e-03,9.60e+00,
4.510000e-03,9.60e+00,
4.510100e-03,9.60e+00,
4.510200e-03,9.60e+00,
4.510300e-03,9.60e+00,
4.510400e-03,9.60e+00,
4.510500e-03,9.60e+00,
4.510600e-03,9.60e+00,
4.510700e-03,9.60e+00,
4.510800e-03,9.60e+00,
4.510900e-03,9.60e+00,
4.511000e-03,9.60e+00,
4.511100e-03,9.60e+00,
4.511200e-03,9.60e+00,
4.511300e-03,9.60e+00,
4.511400e-03,9.60e+00,
4.511500e-03,9.60e+00,
4.511600e-03,9.60e+00,
4.511700e-03,9.60e+00,
4.511800e-03,9.60e+00,
4.511900e-03,9.60e+00,
4.512000e-03,9.60e+00,
4.512100e-03,9.60e+00,
4.512200e-03,9.60e+00,
4.512300e-03,9.60e+00,
4.512400e-03,9.60e+00,
4.512500e-03,9.60e+00,
4.512600e-03,9.60e+00,
4.512700e-03,9.60e+00,
4.512800e-03,9.60e+00,
4.512900e-03,9.60e+00,
4.513000e-03,9.60e+00,
4.513100e-03,9.60e+00,
4.513200e-03,9.60e+00,
4.513300e-03,9.60e+00,
4.513400e-03,9.60e+00,
4.513500e-03,9.60e+00,
4.513600e-03,9.60e+00,
4.513700e-03,9.60e+00,
4.513800e-03,9.60e+00,
4.513900e-03,9.60e+00,
4.514000e-03,9.60e+00,
4.514100e-03,9.60e+00,
4.514200e-03,9.60e+00,
4.514300e-03,9.60e+00,
4.514400e-03,9.60e+00,
4.514500e-03,9.60e+00,
4.514600e-03,9.60e+00,
4.514700e-03,9.60e+00,
4.514800e-03,9.60e+00,
4.514900e-03,9.60e+00,
4.515000e-03,9.60e+00,
4.515100e-03,9.60e+00,
4.515200e-03,9.60e+00,
4.515300e-03,9.60e+00,
4.515400e-03,9.60e+00,
4.515500e-03,9.60e+00,
4.515600e-03,9.60e+00,
4.515700e-03,9.60e+00,
4.515800e-03,9.60e+00,
4.515900e-03,9.60e+00,
4.516000e-03,9.60e+00,
4.516100e-03,9.60e+00,
4.516200e-03,9.60e+00,
4.516300e-03,9.60e+00,
4.516400e-03,9.60e+00,
4.516500e-03,9.60e+00,
4.516600e-03,9.60e+00,
4.516700e-03,9.60e+00,
4.516800e-03,9.60e+00,
4.516900e-03,9.60e+00,
4.517000e-03,9.60e+00,
4.517100e-03,9.60e+00,
4.517200e-03,9.60e+00,
4.517300e-03,9.60e+00,
4.517400e-03,9.60e+00,
4.517500e-03,9.60e+00,
4.517600e-03,9.60e+00,
4.517700e-03,9.60e+00,
4.517800e-03,9.60e+00,
4.517900e-03,9.60e+00,
4.518000e-03,9.60e+00,
4.518100e-03,9.60e+00,
4.518200e-03,9.60e+00,
4.518300e-03,9.60e+00,
4.518400e-03,9.60e+00,
4.518500e-03,9.60e+00,
4.518600e-03,9.60e+00,
4.518700e-03,9.60e+00,
4.518800e-03,9.60e+00,
4.518900e-03,9.60e+00,
4.519000e-03,9.60e+00,
4.519100e-03,9.60e+00,
4.519200e-03,9.60e+00,
4.519300e-03,9.60e+00,
4.519400e-03,9.60e+00,
4.519500e-03,9.60e+00,
4.519600e-03,9.60e+00,
4.519700e-03,9.60e+00,
4.519800e-03,9.60e+00,
4.519900e-03,9.60e+00,
4.520000e-03,9.60e+00,
4.520100e-03,9.60e+00,
4.520200e-03,9.60e+00,
4.520300e-03,9.60e+00,
4.520400e-03,9.60e+00,
4.520500e-03,9.60e+00,
4.520600e-03,9.60e+00,
4.520700e-03,9.60e+00,
4.520800e-03,9.60e+00,
4.520900e-03,9.60e+00,
4.521000e-03,9.60e+00,
4.521100e-03,9.60e+00,
4.521200e-03,9.60e+00,
4.521300e-03,9.60e+00,
4.521400e-03,9.60e+00,
4.521500e-03,9.60e+00,
4.521600e-03,9.60e+00,
4.521700e-03,9.60e+00,
4.521800e-03,9.60e+00,
4.521900e-03,9.60e+00,
4.522000e-03,9.60e+00,
4.522100e-03,9.60e+00,
4.522200e-03,9.60e+00,
4.522300e-03,9.60e+00,
